"","gender","race","parents_education","lunch","test_preparation_course","math_score","reading_score","writing_score"
"1","female","group B","bachelor's degree","standard","none",72,32,74
"2","female","group C","some college","standard","completed",69,50,88
"3","female","group B","master's degree","standard","none",90,55,93
"4","male","group A","associate's degree","free/reduced","none",47,57,44
"5","male","group C","some college","standard","none",76,78,75
"6","female","group B","associate's degree","standard","none",71,43,78
"7","female","group B","some college","standard","completed",88,55,92
"8","male","group B","some college","free/reduced","none",40,43,39
"9","male","group D","high school","free/reduced","completed",64,64,67
"10","female","group B","high school","free/reduced","none",38,20,50
"11","male","group C","associate's degree","standard","none",58,54,52
"12","male","group D","associate's degree","standard","none",40,52,43
"13","female","group B","high school","standard","none",65,41,73
"14","male","group A","some college","standard","completed",78,72,70
"15","female","group A","master's degree","standard","none",50,13,58
"16","female","group C","some high school","standard","none",69,35,78
"17","male","group C","high school","standard","none",88,89,86
"18","female","group B","some high school","free/reduced","none",18,-8,28
"19","male","group C","master's degree","free/reduced","completed",46,42,46
"20","female","group C","associate's degree","free/reduced","none",54,18,61
"21","male","group D","high school","standard","none",66,69,63
"22","female","group B","some college","free/reduced","completed",65,35,70
"23","male","group D","some college","standard","none",44,54,53
"24","female","group C","some high school","standard","none",69,33,73
"25","male","group D","bachelor's degree","free/reduced","completed",74,71,80
"26","male","group A","master's degree","free/reduced","none",73,74,72
"27","male","group B","some college","standard","none",69,54,55
"28","female","group C","bachelor's degree","standard","none",67,29,75
"29","male","group C","high school","standard","none",70,70,65
"30","female","group D","master's degree","standard","none",62,30,75
"31","female","group D","some college","standard","none",69,34,74
"32","female","group B","some college","standard","none",63,25,61
"33","female","group E","master's degree","free/reduced","none",56,32,65
"34","male","group D","some college","standard","none",40,42,38
"35","male","group E","some college","standard","none",97,87,82
"36","male","group E","associate's degree","standard","completed",81,81,79
"37","female","group D","associate's degree","standard","none",74,41,83
"38","female","group D","some high school","free/reduced","none",50,24,59
"39","female","group D","associate's degree","free/reduced","completed",75,50,88
"40","male","group B","associate's degree","free/reduced","none",57,56,57
"41","male","group C","associate's degree","free/reduced","none",55,61,54
"42","female","group C","associate's degree","standard","none",58,33,68
"43","female","group B","associate's degree","standard","none",53,18,65
"44","male","group B","some college","free/reduced","completed",59,65,66
"45","female","group E","associate's degree","free/reduced","none",50,16,54
"46","male","group B","associate's degree","standard","none",65,54,57
"47","female","group A","associate's degree","standard","completed",55,25,62
"48","female","group C","high school","standard","none",66,31,76
"49","female","group D","associate's degree","free/reduced","completed",57,34,76
"50","male","group C","high school","standard","completed",82,84,82
"51","male","group E","some college","standard","none",53,55,48
"52","male","group E","associate's degree","free/reduced","completed",77,69,68
"53","male","group C","some college","standard","none",53,44,42
"54","male","group D","high school","standard","none",88,78,75
"55","female","group C","some high school","free/reduced","completed",71,44,87
"56","female","group C","high school","free/reduced","none",33,1,43
"57","female","group E","associate's degree","standard","completed",82,45,86
"58","male","group D","associate's degree","standard","none",52,55,49
"59","male","group D","some college","standard","completed",58,59,58
"60","female","group C","some high school","free/reduced","none",0,-23,10
"61","male","group E","bachelor's degree","free/reduced","completed",79,74,72
"62","male","group A","some high school","free/reduced","none",39,39,34
"63","male","group A","associate's degree","free/reduced","none",62,61,55
"64","female","group C","associate's degree","standard","none",69,40,71
"65","female","group D","some high school","standard","none",59,18,59
"66","male","group B","some high school","standard","none",67,64,61
"67","male","group D","some high school","free/reduced","none",45,37,37
"68","female","group C","some college","standard","none",60,32,74
"69","male","group B","associate's degree","free/reduced","none",61,58,56
"70","female","group C","associate's degree","standard","none",39,24,57
"71","female","group D","some college","free/reduced","completed",58,23,73
"72","male","group D","some college","standard","completed",63,55,63
"73","female","group A","associate's degree","free/reduced","none",41,11,48
"74","male","group C","some high school","free/reduced","none",61,57,56
"75","male","group C","some high school","standard","none",49,49,41
"76","male","group B","associate's degree","free/reduced","none",44,41,38
"77","male","group E","some high school","standard","none",30,26,22
"78","male","group A","bachelor's degree","standard","completed",80,78,81
"79","female","group D","some high school","standard","completed",61,34,72
"80","female","group E","master's degree","standard","none",62,28,68
"81","female","group B","associate's degree","standard","none",47,9,50
"82","male","group B","high school","free/reduced","none",49,45,45
"83","male","group A","some college","free/reduced","completed",50,47,54
"84","male","group E","associate's degree","standard","none",72,64,63
"85","male","group D","high school","free/reduced","none",42,39,34
"86","female","group C","some college","standard","none",73,40,82
"87","female","group C","some college","free/reduced","none",76,43,88
"88","female","group D","associate's degree","standard","none",71,31,74
"89","female","group A","some college","standard","none",58,30,67
"90","female","group D","some high school","standard","none",73,46,82
"91","female","group C","bachelor's degree","standard","none",65,32,74
"92","male","group C","high school","free/reduced","none",27,34,36
"93","male","group C","high school","standard","none",71,79,71
"94","male","group C","associate's degree","free/reduced","completed",43,45,50
"95","female","group B","some college","standard","none",79,46,92
"96","male","group C","associate's degree","free/reduced","completed",78,81,82
"97","male","group B","some high school","standard","completed",65,66,62
"98","female","group E","some college","standard","completed",63,32,70
"99","female","group D","some college","free/reduced","none",58,27,62
"100","female","group D","bachelor's degree","standard","none",65,27,62
"101","male","group B","some college","standard","none",79,67,67
"102","male","group D","bachelor's degree","standard","completed",68,74,74
"103","female","group D","associate's degree","standard","none",85,51,89
"104","male","group B","high school","standard","completed",60,44,47
